ticker,week_start,snapshot_type,snapshot_date,option_type,strike_offset,strike,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho
SPY,2026-08-17,end,2026-08-20,call,-2,761.0,3.23,3.17,3.24,3527.0,2315.0,0.14795773925781253,0.6133905240079923,0.06480224872613044,-1.1772731515421486,0.1527666211684061,0.01272561668802872
SPY,2026-08-17,end,2026-08-20,put,-2,761.0,1.57,1.55,1.58,43331.0,11521.0,0.14405152832031248,-0.38370139188240915,0.06641181156225681,-1.068028999853432,0.15242770362189556,-0.008059191133981214
SPY,2026-08-17,end,2026-08-20,call,-1,762.0,2.53,2.54,2.58,9637.0,3728.0,0.14246463012695312,0.5488992576970406,0.06962637735796111,-1.1679940328859202,0.15804529230432654,0.011396389211017925
SPY,2026-08-17,end,2026-08-20,put,-1,762.0,1.93,1.9,1.93,59033.0,4137.0,0.1392908337402344,-0.45005884468804036,0.07118956820692468,-1.065341200158096,0.1579936405173803,-0.009455062682413749
SPY,2026-08-17,end,2026-08-20,call,0,763.0,1.96,1.96,1.98,31842.0,4124.0,0.13648324462890626,0.4778164115218498,0.07311529795886564,-1.1217825711124476,0.1589967701749696,0.009927847379941
SPY,2026-08-17,end,2026-08-20,put,0,763.0,2.34,2.33,2.35,78115.0,6367.0,0.13465220825195315,-0.522523362971625,0.0741059951730726,-1.029751541964176,0.15898916684958128,-0.01098044291696343
SPY,2026-08-17,end,2026-08-20,call,1,764.0,1.46,1.46,1.49,54398.0,3516.0,0.132821171875,0.402934674938908,0.07300915669782906,-1.057103064592254,0.15450600005165868,0.008376901589322359
SPY,2026-08-17,end,2026-08-20,put,1,764.0,2.84,2.8,2.85,82003.0,6749.0,0.1302577209472656,-0.5989886707435577,0.07435413569446714,-0.9584120947602403,0.15431541622140993,-0.0125915821168538
SPY,2026-08-17,end,2026-08-20,call,2,765.0,1.06,1.05,1.07,61783.0,11100.0,0.12854875366210936,0.3268760693200974,0.07030744550143349,-0.9507452692092335,0.1440024558851479,0.006799475816240756
SPY,2026-08-17,end,2026-08-20,put,2,765.0,3.42,3.38,3.45,123491.0,41048.0,0.12720599365234375,-0.6748556994022274,0.07089579223292973,-0.8613595800540533,0.1436907277331046,-0.01419295499626141
QQQ,2026-08-17,end,2026-08-20,call,-2,709.0,4.13,4.1,4.19,8975.0,1134.0,0.2111895288085937,0.6028088937801032,0.04906903792016529,-1.5582942295314923,0.14349630987661288,0.011625257378945384
QQQ,2026-08-17,end,2026-08-20,put,-2,709.0,2.51,2.51,2.55,51334.0,2561.0,0.23133092895507812,-0.40557574538173247,0.0450400056601954,-1.639262621184656,0.1442756192458689,-0.007968682542225384
QQQ,2026-08-17,end,2026-08-20,call,-1,710.0,3.53,3.5,3.58,33163.0,17785.0,0.20850400878906244,0.5535731221976717,0.05095369222191605,-1.573241278235937,0.14711294093259833,0.010683063351246242
QQQ,2026-08-17,end,2026-08-20,put,-1,710.0,2.9,2.87,2.94,99474.0,24500.0,0.22815713256835937,-0.45062750576679256,0.04662862996609465,-1.6477539131080516,0.1473151845352993,-0.008856762830961396
QQQ,2026-08-17,end,2026-08-20,call,0,711.0,2.95,2.92,2.95,29073.0,810.0,0.2010577941894531,0.5022123115811679,0.05332146463168315,-1.5282831144526186,0.14845122730563567,0.009700054215455244
QQQ,2026-08-17,end,2026-08-20,put,0,711.0,3.36,3.3,3.36,41991.0,3750.0,0.22400678344726557,-0.4975596753924839,0.04785864144906265,-1.6264746467024842,0.14845073253768107,-0.009782314276509921
QQQ,2026-08-17,end,2026-08-20,call,1,712.0,2.39,2.38,2.41,40885.0,1268.0,0.19617503051757812,0.4477091002785938,0.05417934384964734,-1.4756604322096325,0.14717643491481777,0.008653349482699732
QQQ,2026-08-17,end,2026-08-20,put,1,712.0,3.77,3.76,3.85,36135.0,2802.0,0.22132126342773437,-0.5458862869684098,0.048119489878146925,-1.5921583284427654,0.14747043597443138,-0.010736925137690829
QQQ,2026-08-17,end,2026-08-20,call,2,712.5,2.16,2.14,2.22,13938.0,442.0,0.1977619287109375,0.4214711558786977,0.053157265874636435,-1.4695615519685037,0.14556807294805477,0.008147558764379342
QQQ,2026-08-17,end,2026-08-20,put,2,712.5,4.03,4.01,4.1,13539.0,1196.0,0.21900195068359374,-0.5705826012738062,0.04818508035596687,-1.5585062669605572,0.14612394193633685,-0.011224723528647815
TSLA,2026-08-17,end,2026-08-20,call,-2,340.0,6.55,6.4,6.6,45606.0,8655.0,0.481450498046875,0.7293630040757009,0.03806153831633048,-1.4644339836391718,0.059801289390772505,0.006715084182405648
TSLA,2026-08-17,end,2026-08-20,put,-2,340.0,1.16,1.15,1.18,126170.0,11935.0,0.4321345849609375,-0.24892563396105927,0.04061370333807436,-1.2286881063002548,0.05727488006586998,-0.0023858278159219577
TSLA,2026-08-17,end,2026-08-20,call,-1,342.5,4.7,4.7,4.8,53645.0,4647.0,0.4624077197265626,0.6301848468154869,0.04519229451816958,-1.5983055439263525,0.0681964925209752,0.005826712102828445
TSLA,2026-08-17,end,2026-08-20,put,-1,342.5,1.89,1.86,1.91,84140.0,2216.0,0.4243221630859375,-0.3593899699394666,0.04877774642347662,-1.4202552781161246,0.06754450428066497,-0.0034502377846403693
TSLA,2026-08-17,end,2026-08-20,call,0,345.0,3.31,3.25,3.4,121132.0,16151.0,0.46289599609375004,0.512704735551444,0.04768371211265696,-1.6847735671906636,0.07203209602898956,0.004754287306166388
